x_mm,dose_Gy
-15.4591,-1.1819691816816413
-15.289766666666665,-1.1820171907062687
-15.120433333333333,-1.1820171907062687
-14.9511,-1.1820154757048766
-14.781766666666666,-1.1820171907062687
-14.612433333333332,-1.1819331712568517
-14.4431,-1.1660242349209462
-14.273766666666667,6.550579492434613
-14.104433333333333,4.2362745505346595
-13.935099999999998,3.069989420091883
-13.765766666666666,3.217818097219552
-13.596433333333334,3.8888426257506095
-13.4271,2.1656362758702588
-13.257766666666665,0.10068909285455184
-13.088433333333333,0.07016563418796803
-12.9191,0.06226765418224411
-12.749766666666666,0.057767487178024046
-12.580433333333332,0.053931479027164754
-12.4111,0.056724153759858856
-12.241766666666667,0.04935452032437524
-12.072433333333333,0.05290374353268588
-11.903099999999998,0.06834272462248153
-11.733766666666666,0.05342241341555215
-11.564433333333334,0.05803908257239344
-11.3951,0.05563619515136359
-11.225766666666665,0.05787459519195415
-11.056433333333333,0.05550747921231195
-10.8871,0.06454834517182202
-10.717766666666666,0.061923365580509475
-10.548433333333332,0.06467601670265125
-10.3791,0.06833558639663474
-10.209766666666667,0.07121459184801339
-10.040433333333333,0.0765834706911646
-9.871099999999998,0.08128510013457477
-9.701766666666666,0.0805431664800295
-9.532433333333334,0.08364380800179909
-9.3631,0.0877821956477322
-9.193766666666665,0.08525760371952008
-9.024433333333333,0.08265262029091695
-8.8551,0.09098755003020363
-8.685766666666666,0.09405995939828264
-8.516433333333332,0.09341963693355944
-8.3471,0.09899777070848768
-8.177766666666667,0.10006054882018267
-8.008433333333333,0.10535692196344802
-7.839099999999999,0.10231305825163704
-7.669766666666666,0.10827690237967509
-7.500433333333333,0.11553687214580002
-7.331099999999999,0.11817410309499944
-7.161766666666665,0.1383754784591865
-6.992433333333333,0.1575320497031352
-6.8231,0.20045165793699107
-6.653766666666666,0.245388734051605
-6.484433333333332,0.32772376664501685
-6.315099999999999,0.46794822467635083
-6.145766666666667,0.6923745561322406
-5.976433333333333,1.0374291354227227
