# --------------------------------
#  ESTIMATOR metadata
#{}
# --------------------------------
#  PAGE metadata
#{
#    "detectorType": "5",
#    "detectorUnit": "MeV/g",
#    "dettyp": "DOSE",
#    "name": "DOSE",
#    "pageDiffUnits": "MeV/g",
#    "pageNormalized": "2",
#    "pageNumber": "2",
#    "pageOffset": "0.0",
#    "pageScaleFactor": "1.0",
#    "pageUnitIds": "[40 40 40]",
#    "unit": "MeV/g/prim"
#}
# --------------------------------
Position (X) [cm], DOSE [MeV/g/prim]
-2.495, 0.0000019804203923892845
-2.4850000000000003, 0.0005645529034928942
-2.475, 0.0008298518129755386
-2.4650000000000003, 0.0005467072037128941
-2.455, 0.0002469951617979393
-2.4450000000000003, 0
-2.435, 0
-2.4250000000000003, 0.0003805553020359444
-2.415, 0.00009222837190491504
-2.4050000000000002, 0.0006816138287397758
-2.395, 0.0007798124284988118
-2.3850000000000002, 0.00019102795758977267
-2.375, 0.0012450971300942213
-2.365, 0.001805288425506676
-2.355, 0.00123668943260828
-2.345, 0.000551421250747513
-2.335, 0.002016803241778309
-2.325, 0.0019025162097790042
-2.315, 0.0009150704345051639
-2.305, 0.0015961618976453866
-2.295, 0.002497570843315831
-2.285, 0.002344173421299538
-2.275, 0.0019622584732344813
-2.265, 0.0019721650353732713
-2.255, 0.003311633323714879
-2.245, 0.001251199284142997
-2.2350000000000003, 0.001417828096857297
-2.225, 0.0042802985356798036
-2.215, 0.0035129235603716348
-2.205, 0.0034034119147901163
-2.1950000000000003, 0.003935266711298032
-2.185, 0.007553730536259182
-2.1750000000000003, 0.006646896283783843
-2.165, 0.00879280118114104
-2.1550000000000002, 0.009976721621605154
-2.145, 0.013902985889891502
-2.1350000000000002, 0.016737528087740438
-2.125, 0.027071101372765572
-2.115, 0.04081703270035621
-2.105, 0.05626712587396764
-2.095, 0.0672983219142261
-2.085, 0.1107634457655562
-2.075, 0.12745467128251775
-2.065, 0.16473541713547818
-2.055, 0.2330001170088294
-2.045, 0.27066103774438377
-2.035, 0.35030469302997863
-2.025, 0.42513400858285283
-2.015, 0.4695542904398294
-2.005, 0.5733435773268474
-1.995, 0.6397217477314784
-1.985, 0.712664117074423
-1.975, 0.7642569943401075
-1.965, 0.8208879225997164
-1.955, 0.8049401505627113
-1.945, 0.8271189472183818
-1.935, 0.8369329109886118
-1.925, 0.8195193820470107
-1.915, 0.7952780885203659
-1.9050000000000002, 0.7056764250048848
-1.895, 0.6903185712528649
-1.8850000000000002, 0.5964726912798642
-1.875, 0.5042224776390973
-1.8650000000000002, 0.43865015969934096
-1.855, 0.3917220124610798
-1.8450000000000002, 0.34133488490472624
-1.835, 0.2634454565667982
-1.8250000000000002, 0.23859964491695201
-1.815, 0.1924239959321942
-1.8050000000000002, 0.1559901533602821
-1.795, 0.12214134913646313
-1.7850000000000001, 0.08900660618497305
-1.7750000000000001, 0.07453465194762941
-1.7650000000000001, 0.0625047170719272
-1.7550000000000001, 0.048401479737371175
-1.745, 0.03811129236364391
-1.735, 0.026408971109351136
-1.725, 0.015190818341914296
-1.715, 0.01941055606700173
-1.705, 0.016047213453841268
-1.695, 0.010290295050781734
-1.685, 0.009208922952121048
-1.675, 0.01257719233881735
-1.665, 0.00838433458732932
-1.6550000000000002, 0.00794770945303708
-1.645, 0.008521075423559801
-1.6350000000000002, 0.006469188555291083
-1.625, 0.007478460836507124
-1.6150000000000002, 0.006133299939170569
-1.605, 0.00825567335539554
-1.5950000000000002, 0.00760731119329872
-1.585, 0.007594964167100322
-1.5750000000000002, 0.005979165050580647
-1.565, 0.010134389414166143
-1.5550000000000002, 0.0119200170229535
-1.545, 0.01359290204183408
-1.5350000000000001, 0.01012330623043685
-1.5250000000000001, 0.01137949221034283
-1.5150000000000001, 0.009992762359088395
