# --------------------------------
#  ESTIMATOR metadata
#{}
# --------------------------------
#  PAGE metadata
#{
#    "detectorType": "8",
#    "detectorUnit": "MeV",
#    "dettyp": "AVG-ENERGY",
#    "name": "AVG-ENERGY",
#    "pageDiffUnits": "MeV",
#    "pageFilterName": "Protons",
#    "pageNormalized": "3",
#    "pageNumber": "1",
#    "pageOffset": "0.0",
#    "pageScaleFactor": "1.0",
#    "pageUnitIds": "[70 70 70]",
#    "unit": "MeV"
#}
# --------------------------------
Position (X) [cm], AVG-ENERGY [MeV]
-2.495, 2.287463835917145
-2.4850000000000003, 0.8677953601574137
-2.475, 0.7334899187337864
-2.4650000000000003, 0.7847808713930966
-2.455, 0.5779241666518954
-2.4450000000000003, 0
-2.435, 0
-2.4250000000000003, 0.1705964066846119
-2.415, 0.30152102555318494
-2.4050000000000002, 0.3641899392279638
-2.395, 1.2308040308238815
-2.3850000000000002, 1.4115823091299915
-2.375, 1.4099438683509136
-2.365, 2.3122310622255307
-2.355, 2.110892842738533
-2.345, 1.707994203270634
-2.335, 1.5549147345924244
-2.325, 2.6618769546249785
-2.315, 2.471301467791913
-2.305, 2.2685526227034623
-2.295, 2.073583970256362
-2.285, 1.2201644299208787
-2.275, 2.1511308199500196
-2.265, 3.684198837048965
-2.255, 3.89951796957168
-2.245, 2.8785370098385603
-2.2350000000000003, 4.27216125145832
-2.225, 3.8386556274640045
-2.215, 4.956401420443355
-2.205, 3.997921148580905
-2.1950000000000003, 4.638340756286444
-2.185, 4.840226882227168
-2.1750000000000003, 5.733760431166968
-2.165, 4.6194646586160095
-2.1550000000000002, 5.325288650682941
-2.145, 6.506201117802038
-2.1350000000000002, 5.313265757923728
-2.125, 5.600658532807786
-2.115, 5.99182804245219
-2.105, 5.930724231157041
-2.095, 5.431625836784619
-2.085, 5.5965813236560775
-2.075, 6.048657165537861
-2.065, 5.921975450616016
-2.055, 6.036337980366559
-2.045, 6.308870191702712
-2.035, 5.835483049108638
-2.025, 6.10506476407373
-2.015, 6.1465720808407855
-2.005, 6.076139439205238
