# --------------------------------
#  ESTIMATOR metadata
#{}
# --------------------------------
#  PAGE metadata
#{
#    "detectorType": "2",
#    "detectorUnit": "/cm^2",
#    "dettyp": "FLUENCE",
#    "name": "FLUENCE",
#    "pageDiffUnits": "/cm^2",
#    "pageNormalized": "2",
#    "pageNumber": "0",
#    "pageOffset": "0.0",
#    "pageScaleFactor": "1.0",
#    "pageUnitIds": "[14 14 14]",
#    "unit": "/cm^2/prim"
#}
# --------------------------------
Position (X) [cm], FLUENCE [/cm^2/prim]
-2.495, 0.0002952391442858429
-2.4850000000000003, 0.0002794884411734173
-2.475, 0.0002967371019773371
-2.4650000000000003, 0.00034649979290013146
-2.455, 0.0003555420984313298
-2.4450000000000003, 0.00036000155228504743
-2.435, 0.00036801171073552925
-2.4250000000000003, 0.00033824813604798714
-2.415, 0.00033413561577344547
-2.4050000000000002, 0.0003065486164736484
-2.395, 0.00032300394670950716
-2.3850000000000002, 0.00032466108105044317
-2.375, 0.0003455164063611134
-2.365, 0.00036554017614785414
-2.355, 0.0003852527453750053
-2.345, 0.000393628127860364
-2.335, 0.00040122091399212454
-2.325, 0.0003925431280570576
-2.315, 0.0003864738446342796
-2.305, 0.0003923993412077659
-2.295, 0.00043067514483111346
-2.285, 0.0004331485729244104
-2.275, 0.0004258636561808228
-2.265, 0.0004467130992826503
-2.255, 0.0004464263402476297
-2.245, 0.0004394659105174284
-2.2350000000000003, 0.0004866064920729945
-2.225, 0.0004697475616063645
-2.215, 0.00048139574294162453
-2.205, 0.0005047820555967285
-2.1950000000000003, 0.0004869935969630105
-2.185, 0.0005224808187578121
-2.1750000000000003, 0.0005727952181482528
-2.165, 0.0005654616519720318
-2.1550000000000002, 0.0006063779613246301
-2.145, 0.0006738647790229411
-2.1350000000000002, 0.0006660537285889608
-2.125, 0.0008056861835944645
-2.115, 0.0009773320583074732
-2.105, 0.0011236672916353212
-2.095, 0.0012113880558729487
-2.085, 0.0016279862984072448
-2.075, 0.0019199453854658792
-2.065, 0.0023860917665638136
-2.055, 0.003214843754889824
-2.045, 0.003643526619812205
-2.035, 0.004319916079759112
-2.025, 0.005290174629298726
-2.015, 0.005805252486017228
-2.005, 0.0068162846227333655
-1.995, 0.007492623788471458
-1.985, 0.008294398509740852
-1.975, 0.008794961663054992
-1.965, 0.009348386622508637
-1.955, 0.009238821177564095
-1.945, 0.009444676321255813
-1.935, 0.009322819948857013
-1.925, 0.009380666564360386
-1.915, 0.008907969487355106
-1.9050000000000002, 0.007840568745523838
-1.895, 0.007695965039395346
-1.8850000000000002, 0.006538042150180773
-1.875, 0.005757181340941124
-1.8650000000000002, 0.0050754151488085495
-1.855, 0.0044849032109478115
-1.8450000000000002, 0.004086170924346615
-1.835, 0.003312405260178183
-1.8250000000000002, 0.0030104301773518512
-1.815, 0.0025881353658193914
-1.8050000000000002, 0.0021825952680770496
-1.795, 0.001968091358533834
-1.7850000000000001, 0.001668655232182207
-1.7750000000000001, 0.00146036108885669
-1.7650000000000001, 0.0014334782711734706
-1.7550000000000001, 0.0013589499820124403
-1.745, 0.001309171306600493
-1.735, 0.0010810582172619905
-1.725, 0.0011551168053880688
-1.715, 0.0011368465210894547
-1.705, 0.0011576460431815712
-1.695, 0.0009290559108402822
-1.685, 0.00098128383903168
-1.675, 0.0010381204677686621
-1.665, 0.0009896572735055744
-1.6550000000000002, 0.001027741938839313
-1.645, 0.0010856074621487602
-1.6350000000000002, 0.0010753484586242862
-1.625, 0.0010654623119759645
-1.6150000000000002, 0.001146656571360603
-1.605, 0.0010541032798659952
-1.5950000000000002, 0.0010283074437032165
-1.585, 0.0010557993560674063
-1.5750000000000002, 0.0010993091576146383
-1.565, 0.0010452416554708316
-1.5550000000000002, 0.0010880346175593282
-1.545, 0.0012381990335953114
-1.5350000000000001, 0.0012466912237499884
-1.5250000000000001, 0.0010938475811958107
-1.5150000000000001, 0.0010676969056992865
-1.5050000000000001, 0.0011057253915847218
-1.495, 0.0010164571164899246
-1.485, 0.0010875651364471272
-1.475, 0.0011627473153523464
-1.465, 0.001257101331379812
-1.455, 0.0011851111238002576
-1.445, 0.001236328616399347
-1.435, 0.001435520597766515
-1.425, 0.0013540094055583365
-1.415, 0.0014765956104690408
-1.405, 0.001471436078000154
-1.395, 0.0013527422797845624
-1.385, 0.0014638796944760654
-1.375, 0.0014031482732921158
-1.365, 0.0014953178198926242
-1.355, 0.001485176051541727
-1.345, 0.0015489843024199463
-1.3350000000000002, 0.0014650642651395077
-1.3250000000000002, 0.0016120455960338131
-1.3150000000000002, 0.0017996332909407746
-1.3050000000000002, 0.0019389953329668394
-1.2950000000000002, 0.0018908979657347971
-1.2850000000000001, 0.0020390058407061262
-1.2750000000000001, 0.002193363945998327
-1.2650000000000001, 0.00234684605456633
-1.2550000000000001, 0.0024154920701751725
-1.245, 0.002494588214348755
-1.235, 0.0025836370898762125
-1.225, 0.0026951270947658543
-1.215, 0.003014634799145206
-1.205, 0.003386903800769912
-1.195, 0.0034514665324392635
-1.185, 0.003811024355190601
-1.175, 0.00484904443551689
-1.165, 0.005549686946556919
-1.155, 0.006255134618418534
-1.145, 0.007355728612501858
-1.135, 0.008206194813568319
-1.125, 0.009811621383473012
-1.115, 0.010822505418131307
-1.105, 0.012377524126960282
-1.095, 0.014234430443770622
-1.0850000000000002, 0.01577627489003605
-1.0750000000000002, 0.018355757482461228
-1.0650000000000002, 0.020940096056039786
-1.0550000000000002, 0.023254647317505112
-1.0450000000000002, 0.025840570446690934
-1.0350000000000001, 0.029386275616940873
-1.0250000000000001, 0.03215041705927431
-1.0150000000000001, 0.03419654721197625
-1.0050000000000001, 0.03787071458293588
-0.9950000000000001, 0.04147963659887636
-0.9850000000000001, 0.04287186733951039
-0.9750000000000001, 0.04661717729710737
-0.9650000000000001, 0.04827495973102521
-0.9550000000000001, 0.05077987492787232
-0.9450000000000001, 0.055470583998951446
-0.935, 0.05806762207406937
-0.925, 0.05895644587717593
-0.915, 0.06310993848125618
-0.905, 0.06292380981068428
-0.895, 0.0652825730175835
-0.885, 0.06580547438839922
-0.875, 0.06916896845379085
-0.865, 0.06942272179697533
-0.855, 0.07093756123616653
-0.845, 0.07039274525869284
-0.835, 0.07177267268819609
-0.8250000000000002, 0.07298601191748204
-0.8150000000000002, 0.07392812900981874
-0.8050000000000002, 0.07269904877339639
-0.7950000000000002, 0.07261546832308349
-0.7850000000000001, 0.07411986103813695
-0.7750000000000001, 0.07595265631106786
-0.7650000000000001, 0.07581208203730401
-0.7550000000000001, 0.07467277704524589
-0.7450000000000001, 0.07484362161413456
-0.7350000000000001, 0.07387838566693797
-0.7250000000000001, 0.07517025385250498
-0.7150000000000001, 0.07465875293538628
-0.7050000000000001, 0.07595331981400937
-0.6950000000000001, 0.07673892947968639
-0.685, 0.07629856409659498
-0.675, 0.07691788776022926
-0.665, 0.07502213793241355
-0.655, 0.07681235777784398
-0.645, 0.07730399399595766
-0.635, 0.07798582451121014
-0.625, 0.07778696153537047
-0.615, 0.07708200405246841
-0.605, 0.07537624199768053
-0.595, 0.07692431677677221
-0.585, 0.07735874069578492
-0.5750000000000002, 0.07821636593032366
-0.5650000000000002, 0.07780471025740375
-0.5550000000000002, 0.07944702262671724
-0.5450000000000002, 0.07750624978158885
-0.5350000000000001, 0.0773522897670607
-0.5250000000000001, 0.07744331089050767
-0.5150000000000001, 0.07802068778884584
-0.5050000000000001, 0.07781959416934082
-0.4950000000000001, 0.07779181196247724
-0.4849999999999999, 0.07810960084731224
-0.4750000000000001, 0.07744600787699121
-0.46499999999999986, 0.07665885714765963
-0.45500000000000007, 0.07862238381988748
-0.4450000000000003, 0.07867030869375248
-0.43500000000000005, 0.07788184378872041
-0.42500000000000027, 0.07840627652057534
-0.41500000000000004, 0.07767158759095662
-0.40500000000000025, 0.07817460759813603
-0.395, 0.07898901088332276
-0.38500000000000023, 0.07774902972386186
-0.375, 0.07837244459267644
-0.3650000000000002, 0.07885651111542051
-0.355, 0.07921024888472514
-0.3450000000000002, 0.0778622146431363
-0.33499999999999996, 0.07927630803970531
-0.3250000000000002, 0.07780052032052666
-0.31499999999999995, 0.07883812958235067
-0.30500000000000016, 0.07978949824502478
-0.29499999999999993, 0.0784457108760104
-0.28500000000000014, 0.07869695044262667
-0.2749999999999999, 0.0794994360286149
-0.2650000000000001, 0.07956420068540926
-0.2549999999999999, 0.0797180418680743
-0.2450000000000001, 0.080230266835968
-0.23499999999999988, 0.07777717240311531
-0.2250000000000001, 0.07932360905517753
-0.21499999999999986, 0.08040998421871623
-0.20500000000000007, 0.0790338120482662
-0.19499999999999984, 0.07967063282887643
-0.18500000000000005, 0.08013472323882136
-0.17500000000000027, 0.07937510700605817
-0.16500000000000004, 0.0789678249765119
-0.15500000000000025, 0.0771020500145428
-0.14500000000000002, 0.07920014111613076
-0.13500000000000023, 0.07903984759083835
