# --------------------------------
#  ESTIMATOR metadata
#{}
# --------------------------------
#  PAGE metadata
#{
#    "detectorType": "5",
#    "detectorUnit": "MeV/g",
#    "dettyp": "DOSE",
#    "name": "DOSE",
#    "pageDiffUnits": "MeV/g",
#    "pageNormalized": "2",
#    "pageNumber": "0",
#    "pageOffset": "0.0",
#    "pageScaleFactor": "1.0",
#    "pageUnitIds": "[40 40 40]",
#    "unit": "MeV/g/prim"
#}
# --------------------------------
Position (Z) [cm], DOSE [MeV/g/prim]
0.002, 0.38244419743706254
0.006, 0.3879969819612525
0.01, 0.38359336775888314
0.014, 0.378539607884116
0.018000000000000002, 0.3813181094601711
0.022, 0.3819849957907594
0.026000000000000002, 0.38290788930557207
0.03, 0.38300692888864823
0.034, 0.3808452062541548
0.038000000000000006, 0.38165731280943105
0.042, 0.3814587787598317
0.046, 0.3832603103094655
0.05, 0.38093984017371985
0.054000000000000006, 0.38133641082131237
0.058, 0.38392018015737317
0.062, 0.38393715144010243
0.066, 0.3835683280004583
0.07, 0.38573855775622884
0.07400000000000001, 0.385709474812278
0.078, 0.3896509445310639
0.082, 0.3879487864136964
0.08600000000000001, 0.3863275749518976
0.09, 0.3919799062665976
0.094, 0.3915400074948077
0.098, 0.38967361164361386
0.10200000000000001, 0.38967698250359173
0.10600000000000001, 0.385537661482785
0.11, 0.38581669715219913
0.114, 0.3880336282447828
0.11800000000000001, 0.39100649845595054
0.122, 0.39137021203304284
0.126, 0.3982413959728018
0.13, 0.3978129032861466
0.134, 0.3968842435272093
0.138, 0.3890930597407537
0.14200000000000002, 0.395475416931063
0.14600000000000002, 0.3887938521112168
0.15, 0.38830070437710373
0.154, 0.3882541435344186
0.158, 0.3956107969263287
0.162, 0.3880956502411212
0.166, 0.3914249245176089
0.17, 0.3899574163137353
0.17400000000000002, 0.39153429363485887
0.178, 0.39099533426487193
0.182, 0.40282982524618044
0.186, 0.39762864055386726
0.19, 0.39516674677606667
0.194, 0.40076865770742814
0.198, 0.39573342287471486
0.202, 0.39445148629644816
0.20600000000000002, 0.39654933111847146
0.21000000000000002, 0.4048236087541292
0.214, 0.4012156211677713
0.218, 0.4084003984904684
0.222, 0.40297130124940367
0.226, 0.40217745717744613
0.23, 0.4061097487064618
0.234, 0.3963128877689346
0.23800000000000002, 0.3976410606737757
0.242, 0.39873209418050565
0.246, 0.39760980109319527
0.25, 0.40120734886263626
0.254, 0.4006397422551207
0.258, 0.40502518770820406
0.262, 0.3993893655666802
0.266, 0.39918127465509634
0.27, 0.4029617153820972
0.274, 0.3997709879674601
0.278, 0.3984567163538623
0.28200000000000003, 0.3996745776411821
0.28600000000000003, 0.40154954208417226
0.29000000000000004, 0.4018344331689179
0.294, 0.40197198349150204
0.298, 0.3997793393177825
0.302, 0.39798874219007596
0.306, 0.40264554774038624
0.31, 0.4036939962633715
0.314, 0.4052261092923747
0.318, 0.4027912802090411
0.322, 0.4048056791948688
0.326, 0.40704460273563353
0.33, 0.4036791038885993
0.334, 0.417979920203664
0.338, 0.4074523068331165
0.342, 0.39976696910549187
0.34600000000000003, 0.4008893311149663
0.35000000000000003, 0.4005632947332112
0.354, 0.3998775142451145
0.358, 0.40031353706244044
0.362, 0.40055547743562947
0.366, 0.39961804352329644
0.37, 0.40058260321894884
0.374, 0.4020092961428546
0.378, 0.40654924240617873
0.382, 0.4062651506386921
0.386, 0.4030658136310776
0.39, 0.4058083677280766
0.394, 0.40463563664245955
0.398, 0.40452185435668997
0.402, 0.4109802568588432
0.406, 0.4052198603060348
0.41000000000000003, 0.4046902194576156
0.41400000000000003, 0.41253111531894626
0.41800000000000004, 0.40422814951699176
0.422, 0.41036289374230867
0.426, 0.4069679349500487
0.43, 0.40796295632205143
0.434, 0.4090707480785328
0.438, 0.4111331446035711
0.442, 0.41731279212702493
0.446, 0.4119114877289047
0.45, 0.40892365896063515
0.454, 0.4185436339951561
0.458, 0.41209361328903965
0.462, 0.4096977293065497
0.466, 0.41789209627116836
0.47000000000000003, 0.4195410492709415
