depth,dose,dose_err,fluence,fluence_err,kinetic_energy,kinetic_energy_err
0.02499999999999858,0.25873814909857146,0.000849509571624002,0.0801433,0.000257664,60.4629,0.0037573
0.07500000000000107,0.2585736298256751,0.0008068686796434224,0.0801447,0.000248008,60.4592,0.00377904
0.125,0.2581378921862286,0.0007560346086557404,0.0800046,0.000237252,60.458,0.00374596
0.1750000000000007,0.2585694572354205,0.0007963120262992403,0.0800365,0.000242986,60.445,0.00375909
0.22499999999999964,0.25906867785516935,0.000792261633330651,0.0802063,0.000239359,60.4001,0.00369757
0.27500000000000036,0.25863860301678276,0.0008977119303296645,0.080029,0.000269573,60.3346,0.00366628
0.3249999999999993,0.25974016684400175,0.0008627247610446974,0.0802065,0.000259821,60.2677,0.00376755
0.375,0.25898671626088227,0.0008512322553148368,0.0798879,0.000258125,60.197,0.0040015
0.4250000000000007,0.26077079663689223,0.0008930714138822076,0.080412,0.000267481,60.1316,0.00409929
0.4750000000000014,0.2594170891414299,0.0008702413843462295,0.0800252,0.000262983,60.0672,0.00387393
0.5250000000000004,0.25929846836133436,0.0008883921519538153,0.0798524,0.000268149,60.0015,0.00397353
0.5750000000000011,0.26128640957549853,0.0008617620848645249,0.0803564,0.000257133,59.9358,0.00433427
0.625,0.26208009585035896,0.0008387025628645427,0.0805152,0.000254896,59.8681,0.00454486
0.6749999999999989,0.2629038843834849,0.0008455783955198301,0.0807862,0.000254437,59.804,0.00418187
0.7249999999999996,0.2631822557619001,0.0008755167305967102,0.0806863,0.000254458,59.7398,0.00478577
0.7749999999999986,0.26172095504630083,0.0008349412707921663,0.0801821,0.000251537,59.6751,0.00437001
0.8249999999999993,0.26148669390772017,0.000836744425866483,0.0800972,0.000251806,59.6067,0.00397806
0.875,0.26168846845074706,0.0008803122289679097,0.0800191,0.000262798,59.5447,0.00440786
0.9250000000000007,0.26360517758842167,0.0008875755164325545,0.0805526,0.000264448,59.4784,0.00473113
0.9749999999999996,0.26351516885578635,0.0008740950694885297,0.0804793,0.000255191,59.4153,0.00431223
1.0250000000000004,0.26291103739534993,0.000834473344599327,0.080179,0.000250438,59.3428,0.00436465
1.0749999999999993,0.26396491447680187,0.0008294274908128503,0.0803707,0.000249803,59.2819,0.00460681
1.125,0.26495828899956186,0.0008624147971972115,0.0806564,0.000253915,59.2124,0.00446748
1.174999999999999,0.26338969310598676,0.0007929322281930001,0.0800176,0.000235502,59.1458,0.00457728
1.2250000000000014,0.26502117589554214,0.0008156579429726129,0.080423,0.000240682,59.0751,0.00453494
1.2749999999999986,0.26637220101155507,0.0008609037234407178,0.0808201,0.000255842,59.0049,0.00464881
1.325000000000001,0.2648545703275185,0.0008202090467717563,0.0803906,0.00024273,58.9441,0.00422758
1.375,0.2665960306744992,0.000855613475082185,0.0808199,0.000246634,58.8844,0.00419004
1.4250000000000007,0.26429276085395037,0.0007871591515335759,0.080143,0.000231281,58.8188,0.00439738
1.4749999999999996,0.26597729514817164,0.0008638990471592111,0.0804353,0.000258077,58.7478,0.00464815
1.5250000000000004,0.2647788676186133,0.0008247154442467432,0.0801242,0.000242262,58.6806,0.00484016
1.5749999999999993,0.2684301821335646,0.0008509312327321822,0.081053,0.00025177,58.6181,0.0049437
1.625,0.26661570145712815,0.0008859005194874867,0.0804472,0.000261173,58.5531,0.00441627
1.6750000000000007,0.2659406359623632,0.0008609961165106416,0.0802148,0.000249483,58.483,0.00479344
1.7250000000000014,0.26695189301478583,0.0008629035863413237,0.0803894,0.00025498,58.4155,0.00505864
1.7750000000000004,0.2673190809571922,0.0009100210715807858,0.0805372,0.000266557,58.3585,0.00478221
1.825000000000001,0.26771130444112623,0.0008585164057307547,0.080521,0.000250558,58.2837,0.00496817
1.875,0.2689526500418749,0.0008493784330731425,0.080747,0.000246781,58.2276,0.00475185
1.924999999999999,0.26680167976561964,0.0008301249094696935,0.0801122,0.000239935,58.1526,0.00482441
1.9749999999999996,0.2664359820340185,0.0008476080626365406,0.0798595,0.000254367,58.087,0.00497013
2.0249999999999986,0.26876786390202756,0.0008445143850049027,0.0804906,0.000243863,58.0219,0.00460359
