depth,dose,dose_err,fluence,fluence_err,kinetic_energy,kinetic_energy_err
0.02499999999999858,0.2392946936789981,0.0007870412719730757,0.0803789,0.000259529,57.4614,0.00290271
0.07500000000000107,0.23836937239422917,0.0007771244715754521,0.0800363,0.000256225,57.4598,0.00294155
0.125,0.23958894584755464,0.0007449920290180755,0.0804097,0.000250113,57.4572,0.00281238
0.1750000000000007,0.23849733110903723,0.000847332563113521,0.0800247,0.000273169,57.4476,0.0029821
0.22499999999999964,0.23922727741396493,0.0008234539864162835,0.0801467,0.00026931,57.3936,0.00293827
0.27500000000000036,0.23885767765507726,0.0007788270627394269,0.0799704,0.000256342,57.3191,0.00330224
0.3249999999999993,0.2403852509074758,0.0008220712920393289,0.0804284,0.000266139,57.2559,0.00314108
0.375,0.2390363968517926,0.0007729525944686938,0.0798394,0.000251596,57.1871,0.00307697
0.4250000000000007,0.24042464315645595,0.0007753187731826029,0.0802753,0.000250226,57.119,0.00306956
0.4750000000000014,0.23894545098837533,0.0007584594193741126,0.0797437,0.000253313,57.0473,0.00320953
0.5250000000000004,0.24070356142943633,0.0008087360904382586,0.0801695,0.000259469,56.9812,0.00327192
0.5750000000000011,0.24186682247314584,0.0007903010466705618,0.0804234,0.000254761,56.9166,0.00320371
0.625,0.241818177011318,0.0008023910301998429,0.0803426,0.000256003,56.8494,0.00315885
0.6749999999999989,0.24163549215195362,0.0007641197418617993,0.0801585,0.000245263,56.7761,0.00317051
0.7249999999999996,0.2423649097018615,0.0008097142872250144,0.0803998,0.000263926,56.7108,0.00336323
0.7749999999999986,0.24217799480233818,0.0008186026591089949,0.0803027,0.000260669,56.6413,0.00356378
0.8249999999999993,0.24199107990281482,0.000788770300888044,0.0801639,0.000250267,56.5733,0.00379592
0.875,0.24268110520374253,0.0007953321506846056,0.080325,0.000256755,56.5077,0.00357137
0.9250000000000007,0.24322334347661714,0.0008170639820011791,0.0804205,0.000262856,56.4395,0.00372817
0.9749999999999996,0.24273636010331875,0.0007901159824136081,0.0801407,0.000256692,56.3719,0.00361092
1.0250000000000004,0.24268877215153062,0.0007791522470766457,0.0800248,0.000248726,56.2975,0.00393229
1.0749999999999993,0.2428614106655175,0.0008030625490750752,0.0800245,0.000256976,56.2311,0.00388134
1.125,0.24253411130821925,0.0007701422615380955,0.0799307,0.00024708,56.1652,0.0035091
1.174999999999999,0.24423009303444573,0.0007876678466716193,0.0804427,0.00025601,56.0965,0.00354869
1.2250000000000014,0.24336584295447156,0.0008041279904401092,0.0800561,0.00025936,56.0258,0.00372029
1.2749999999999986,0.24533783480106913,0.0007893016996830114,0.080533,0.000253138,55.9566,0.00389567
1.325000000000001,0.2446723966085653,0.0007757470647486959,0.0801733,0.000248652,55.8849,0.00396516
1.375,0.24621239560393077,0.000895819398435414,0.0806134,0.000284584,55.8212,0.0036997
1.4250000000000007,0.2455271290981819,0.0007652671402549129,0.0803591,0.000241362,55.7505,0.0042038
1.4749999999999996,0.2463107440376262,0.0008205537651323077,0.0805402,0.000264326,55.686,0.00402053
1.5250000000000004,0.24637710279261965,0.0007973229133344085,0.0803764,0.000257355,55.6101,0.00422381
1.5749999999999993,0.24589038379683117,0.000789727347474005,0.0802385,0.000254287,55.5494,0.00408716
1.625,0.24664465283267284,0.0008434594325929882,0.0803827,0.000263099,55.4839,0.00376047
1.6750000000000007,0.24545045962030104,0.000788349940647249,0.0800209,0.000249301,55.4125,0.00390301
1.7250000000000014,0.2469346749610704,0.0008225154462560179,0.0804629,0.000260262,55.3448,0.00375108
