Metric,AIC-144,CCB
FWHM [mm],8.44578276260383,11.430067453129595
Range 90% [mm],29.379780155379386,31.001703708262625
Distal 90%-10% [mm],2.3346518200396176,2.9130905882707268
Distal 80%-20% [mm],1.4236540963720472,1.7573090328723175
