x_mm,dose_Gy
0.0,0.035944861039970216
0.074,0.03672603849966432
0.148,0.03840623202901111
0.22199999999999998,0.041235637525495916
0.296,0.04562468143154109
0.37,0.05221133342963609
0.44399999999999995,0.06195687714202464
0.518,0.07629532022208897
0.592,0.09731276078130585
0.6659999999999999,0.12793212968888545
0.74,0.1720386860803121
0.814,0.234453485701727
0.8879999999999999,0.3206591429364931
0.962,0.4362176009704428
1.036,0.585902269669395
1.1099999999999999,0.7726700752750109
1.184,0.9966939379838976
1.258,1.2547308011989098
1.3319999999999999,1.5400615716495842
1.406,1.8430968521656526
1.48,2.1525607284099455
1.5539999999999998,2.4570048351312956
1.628,2.746295642994875
1.702,3.012742174176053
1.7759999999999998,3.251650617386268
1.8499999999999999,3.4612678843790565
1.924,3.642240803617628
1.998,3.7968152612459884
2.072,3.928028241032596
2.146,4.039076393741782
2.2199999999999998,4.132959522984073
2.294,4.2123631663442005
2.368,4.279699449646076
2.4419999999999997,4.337175995972738
2.516,4.386805263008878
2.59,4.430330820433121
2.6639999999999997,4.469094056295636
2.738,4.503945541540077
2.812,4.535251573428165
2.8859999999999997,4.563061658297605
2.96,4.587360432353979
3.034,4.608348837940552
3.1079999999999997,4.626622847449253
3.182,4.6431925422625975
3.256,4.659330341628282
3.3299999999999996,4.676318518033486
3.404,4.695169525624068
3.4779999999999998,4.716417313075121
3.5519999999999996,4.7400312091306045
3.626,4.765455485061409
3.6999999999999997,4.791761612438528
3.774,4.817841673286238
3.848,4.842624616148917
3.9219999999999997,4.865255653942336
3.996,4.885206837041949
4.069999999999999,4.902298708983739
4.144,4.916643982213286
4.218,4.928538114122443
4.292,4.938335126624009
4.366,4.946365022465142
4.4399999999999995,4.952919588127257
4.513999999999999,4.958298541437448
4.588,4.962877103807649
4.662,4.967155353477213
4.736,4.971753381148417
4.81,4.977336075347818
4.8839999999999995,4.984493505106537
4.958,4.993624147599552
5.032,5.004857792305103
5.106,5.018056139490953
5.18,5.032866422670077
5.254,5.048822739161655
5.327999999999999,5.0654331531820365
5.402,5.08224606126174
5.476,5.098857096498191
5.55,5.114892171267605
5.624,5.12998861589791
5.6979999999999995,5.143793623782424
5.771999999999999,5.155995411104498
5.846,5.166393198671751
5.92,5.17496945887827
5.994,5.18192964069262
6.068,5.187705346042175
6.1419999999999995,5.192891546333859
6.215999999999999,5.198145845332503
6.29,5.204058259920167
6.364,5.211055293202479
6.438,5.2193434152620295
6.512,5.228922193397794
