x_mm,dose_Gy
0.0,0.05193767209858867
0.074,0.05216378066051802
0.148,0.05253206596239089
0.22199999999999998,0.052912949158758694
0.296,0.053199939029904456
0.37,0.05338247809410228
0.44399999999999995,0.05359270157804882
0.518,0.05410410733107467
0.592,0.05529744358993698
0.6659999999999999,0.05763478983758675
0.74,0.06168369838604997
0.814,0.0681963518160477
0.8879999999999999,0.07819198819849767
0.962,0.09296045926940515
1.036,0.11393123333713873
1.1099999999999999,0.14241783168141375
1.184,0.17931979101130902
1.258,0.22489711121667819
1.3319999999999999,0.2787013588148429
1.406,0.33969293262146993
1.48,0.4065159491366558
1.5539999999999998,0.47788133164370805
1.628,0.552985236460346
1.702,0.6318581303456702
1.7759999999999998,0.7155003264623069
1.8499999999999999,0.805700357998091
1.924,0.9045379677378604
1.998,1.013725334153966
2.072,1.1340266945094448
2.146,1.2649452714790757
2.2199999999999998,1.40476259369104
2.294,1.5508824373357806
2.368,1.7003535136314958
2.4419999999999997,1.8504164530092249
2.516,1.9989272768829163
2.59,2.144537044611315
2.6639999999999997,2.286618335294222
2.738,2.4250072089078683
2.812,2.5597061129296144
2.8859999999999997,2.6906611014648805
2.96,2.8176981276955892
3.034,2.940600122404764
3.1079999999999997,3.0592631012486176
3.182,3.1738144727422433
3.256,3.2846068058314724
3.3299999999999996,3.3920542068299278
3.404,3.496394897723802
3.4779999999999998,3.597507572055939
3.5519999999999996,3.6949002163851405
3.626,3.787906264337289
3.6999999999999997,3.876029087730425
3.774,3.9592926255113086
3.848,4.03842993880147
3.9219999999999997,4.114761643559468
3.996,4.189744017577846
4.069999999999999,4.264345323316119
4.144,4.338546115312267
4.218,4.411258452154884
4.292,4.480783495878972
4.366,4.545650694645844
4.4399999999999995,4.605425103609662
4.513999999999999,4.661017178547238
4.588,4.71429890987849
4.662,4.767187690782757
4.736,4.820701192953163
4.81,4.874451269919551
4.8839999999999995,4.926808727142911
4.958,4.97555205926699
5.032,5.018627002463245
5.106,5.054673211349815
5.18,5.0832281509836195
5.254,5.1047132154917305
5.327999999999999,5.1203603857959665
5.402,5.132114384399036
5.476,5.142427236392345
5.55,5.153848801516366
5.624,5.168461827654931
5.6979999999999995,5.187339712425704
5.771999999999999,5.210279485038758
5.846,5.235949750202992
5.92,5.262418461163011
5.994,5.2878717217889895
6.068,5.311249681083819
6.1419999999999995,5.332579795766735
6.215999999999999,5.35289471627017
6.29,5.3737999567378045
6.364,5.396852421097024
6.438,5.42297731681227
6.512,5.452127005381797
6.585999999999999,5.483272635212839
6.659999999999999,5.5147529070383845
6.734,5.544814801434294
6.808,5.572147986502046
6.882,5.596185333519354
6.9559999999999995,5.617111346966128
7.029999999999999,5.635679060441573
7.103999999999999,5.653000628510851
7.178,5.670391364367356
7.252,5.689198086083687
7.326,5.710497398509503
7.3999999999999995,5.734664644791392
7.473999999999999,5.761011356476037
7.548,5.78778011004847
7.622,5.812637741764363
7.696,5.833547036217662
7.77,5.8496045816478945
7.843999999999999,5.8614074636366675
7.917999999999999,5.870744316404379
7.992,5.879766832644274
8.065999999999999,5.890068982820806
8.139999999999999,5.902137314780358
8.214,5.915416311000379
8.288,5.9288790303493375
8.362,5.941724787119771
8.436,5.953826068881382
8.51,5.965721254822841
8.584,5.978264914518152
8.658,5.992179165571307
8.732,6.007772388605302
8.806,6.024930399840312
8.879999999999999,6.043331308571907
8.953999999999999,6.062727363343748
9.027999999999999,6.083140824376796
9.102,6.104878560313115
9.176,6.128371392349114
9.25,6.15392391784099
9.324,6.181496219310278
9.398,6.210605778957091
9.472,6.24037712347375
9.546,6.2697011654238155
9.62,6.297461739842405
9.693999999999999,6.322792869711235
9.767999999999999,6.345300032078766
9.841999999999999,6.365163350459679
9.916,6.3830707303552225
9.99,6.399959150884406
10.064,6.416677021727834
10.138,6.433721148365467
10.212,6.451172602803724
10.286,6.468804632987515
10.36,6.486225690669648
10.434,6.502911791324591
10.508,6.518128081464425
10.581999999999999,6.530907809850189
10.655999999999999,6.540239347212478
10.729999999999999,6.545466132262812
10.804,6.546717142787863
10.878,6.545114905565279
10.952,6.542619966571497
11.026,6.5415709265220965
11.1,6.544115837542002
11.174,6.551749650895507
11.248,6.565064869963764
11.322,6.583712813550605
11.395999999999999,6.606500895481637
11.469999999999999,6.631576304388351
11.543999999999999,6.65669964047092
11.617999999999999,6.679664000198756
11.692,6.69882293430543
11.766,6.7135732240924275
11.84,6.724569396672641
11.914,6.73348587192844
11.988,6.742380565102455
12.062,6.752924551942165
12.136,6.765837228016044
12.209999999999999,6.780741043112652
12.283999999999999,6.796427411280457
12.357999999999999,6.811360645914492
12.431999999999999,6.824219942339649
12.506,6.834333713429385
12.58,6.841919148012877
12.654,6.848054971371422
12.728,6.85437955591977
12.802,6.86258415025709
12.876,6.873828783228083
12.95,6.888289833271275
13.024,6.905026036732016
13.097999999999999,6.922262169704861
13.171999999999999,6.9379881911051395
13.245999999999999,6.950649742519304
13.319999999999999,6.959622464285447
13.394,6.965246054760518
13.468,6.9684119989659825
13.542,6.969963966780791
13.616,6.970261088675311
13.69,6.969178989754694
13.764,6.966542387972328
13.838,6.962705934736503
13.911999999999999,6.958915090206337
13.985999999999999,6.957198608703941
14.059999999999999,6.9597923259921926
14.133999999999999,6.96833286716087
14.207999999999998,6.983170576795694
14.282,7.003122418672028
14.356,7.025772682187744
14.43,7.048197228984875
14.504,7.067795747869906
14.578,7.0828890905353505
14.652,7.092866949103413
14.725999999999999,7.097968497742495
14.799999999999999,7.098910452837835
14.873999999999999,7.096626033177055
14.947999999999999,7.092157030890987
15.021999999999998,7.0866342385141845
15.096,7.08118805316404
15.17,7.076760679845736
15.244,7.07390198651318
15.318,7.072725291161485
15.392,7.0730948535691684
15.466,7.074957360670715
15.54,7.078579724165384
15.613999999999999,7.08451783609239
15.687999999999999,7.093284305649858
15.761999999999999,7.10488865543877
15.835999999999999,7.118528232727362
15.909999999999998,7.132661374247376
15.984,7.1454812688828735
16.058,7.155587831866508
16.131999999999998,7.162512751485979
16.206,7.1668353367275675
16.279999999999998,7.169830455766522
16.354,7.172860893372987
16.428,7.176833630648362
16.502,7.181969832340957
16.576,7.1878854326875805
16.65,7.193832749392607
16.724,7.198889413158836
16.798,7.202084338091854
16.872,7.202512856735355
16.945999999999998,7.199548232721527
17.02,7.193097337409586
17.093999999999998,7.183762453475841
17.168,7.172744970470035
